emojiname,emojicode
"grinning_face","\\ud83d\\ude00"
"grinning_face_with_big_eyes","\\ud83d\\ude03"
"grinning_face_with_smiling_eyes","\\ud83d\\ude04"
"beaming_face_with_smiling_eyes","\\ud83d\\ude01"
"grinning_squinting_face","\\ud83d\\ude06"
"grinning_face_with_sweat","\\ud83d\\ude05"
"rolling_on_the_floor_laughing","\\ud83e\\udd23"
"face_with_tears_of_joy","\\ud83d\\ude02"
"slightly_smiling_face","\\ud83d\\ude42"
"upsidedown_face","\\ud83d\\ude43"
"⊛_melting_face","\\ud83e\\udee0"
"winking_face","\\ud83d\\ude09"
"smiling_face_with_smiling_eyes","\\ud83d\\ude0a"
"smiling_face_with_halo","\\ud83d\\ude07"
"smiling_face_with_hearts","\\ud83e\\udd70"
"smiling_face_with_hearteyes","\\ud83d\\ude0d"
"starstruck","\\ud83e\\udd29"
"face_blowing_a_kiss","\\ud83d\\ude18"
"kissing_face","\\ud83d\\ude17"
"smiling_face","\\u263A"
"kissing_face_with_closed_eyes","\\ud83d\\ude1a"
"kissing_face_with_smiling_eyes","\\ud83d\\ude19"
"smiling_face_with_tear","\\ud83e\\udd72"
"face_savoring_food","\\ud83d\\ude0b"
"face_with_tongue","\\ud83d\\ude1b"
"winking_face_with_tongue","\\ud83d\\ude1c"
"zany_face","\\ud83e\\udd2a"
"squinting_face_with_tongue","\\ud83d\\ude1d"
"moneymouth_face","\\ud83e\\udd11"
"smiling_face_with_open_hands","\\ud83e\\udd17"
"face_with_hand_over_mouth","\\ud83e\\udd2d"
"⊛_face_with_open_eyes_and_hand_over_mouth","\\ud83e\\udee2"
"⊛_face_with_peeking_eye","\\ud83e\\udee3"
"shushing_face","\\ud83e\\udd2b"
"thinking_face","\\ud83e\\udd14"
"⊛_saluting_face","\\ud83e\\udee1"
"zippermouth_face","\\ud83e\\udd10"
"face_with_raised_eyebrow","\\ud83e\\udd28"
"neutral_face","\\ud83d\\ude10"
"expressionless_face","\\ud83d\\ude11"
"face_without_mouth","\\ud83d\\ude36"
"⊛_dotted_line_face","\\ud83e\\udee5"
"face_in_clouds","\\ud83d\\ude36\\u200D\\ud83c\\udf2b\\uFE0F"
"smirking_face","\\ud83d\\ude0f"
"unamused_face","\\ud83d\\ude12"
"face_with_rolling_eyes","\\ud83d\\ude44"
"grimacing_face","\\ud83d\\ude2c"
"face_exhaling","\\ud83d\\ude2e\\u200D\\ud83d\\udca8"
"lying_face","\\ud83e\\udd25"
"relieved_face","\\ud83d\\ude0c"
"pensive_face","\\ud83d\\ude14"
"sleepy_face","\\ud83d\\ude2a"
"drooling_face","\\ud83e\\udd24"
"sleeping_face","\\ud83d\\ude34"
"face_with_medical_mask","\\ud83d\\ude37"
"face_with_thermometer","\\ud83e\\udd12"
"face_with_headbandage","\\ud83e\\udd15"
"nauseated_face","\\ud83e\\udd22"
"face_vomiting","\\ud83e\\udd2e"
"sneezing_face","\\ud83e\\udd27"
"hot_face","\\ud83e\\udd75"
"cold_face","\\ud83e\\udd76"
"woozy_face","\\ud83e\\udd74"
"face_with_crossedout_eyes","\\ud83d\\ude35"
"face_with_spiral_eyes","\\ud83d\\ude35\\u200D\\ud83d\\udcab"
"exploding_head","\\ud83e\\udd2f"
"cowboy_hat_face","\\ud83e\\udd20"
"partying_face","\\ud83e\\udd73"
"disguised_face","\\ud83e\\udd78"
"smiling_face_with_sunglasses","\\ud83d\\ude0e"
"nerd_face","\\ud83e\\udd13"
"face_with_monocle","\\ud83e\\uddd0"
"confused_face","\\ud83d\\ude15"
"⊛_face_with_diagonal_mouth","\\ud83e\\udee4"
"worried_face","\\ud83d\\ude1f"
"slightly_frowning_face","\\ud83d\\ude41"
"frowning_face","\\u2639"
"face_with_open_mouth","\\ud83d\\ude2e"
"hushed_face","\\ud83d\\ude2f"
"astonished_face","\\ud83d\\ude32"
"flushed_face","\\ud83d\\ude33"
"pleading_face","\\ud83e\\udd7a"
"⊛_face_holding_back_tears","\\ud83e\\udd79"
"frowning_face_with_open_mouth","\\ud83d\\ude26"
"anguished_face","\\ud83d\\ude27"
"fearful_face","\\ud83d\\ude28"
"anxious_face_with_sweat","\\ud83d\\ude30"
"sad_but_relieved_face","\\ud83d\\ude25"
"crying_face","\\ud83d\\ude22"
"loudly_crying_face","\\ud83d\\ude2d"
"face_screaming_in_fear","\\ud83d\\ude31"
"confounded_face","\\ud83d\\ude16"
"persevering_face","\\ud83d\\ude23"
"disappointed_face","\\ud83d\\ude1e"
"downcast_face_with_sweat","\\ud83d\\ude13"
"weary_face","\\ud83d\\ude29"
"tired_face","\\ud83d\\ude2b"
"yawning_face","\\ud83e\\udd71"
"face_with_steam_from_nose","\\ud83d\\ude24"
"pouting_face","\\ud83d\\ude21"
"angry_face","\\ud83d\\ude20"
"face_with_symbols_on_mouth","\\ud83e\\udd2c"
"smiling_face_with_horns","\\ud83d\\ude08"
"angry_face_with_horns","\\ud83d\\udc7f"
"skull","\\ud83d\\udc80"
"skull_and_crossbones","\\u2620"
"pile_of_poo","\\ud83d\\udca9"
"clown_face","\\ud83e\\udd21"
"ogre","\\ud83d\\udc79"
"goblin","\\ud83d\\udc7a"
"ghost","\\ud83d\\udc7b"
"alien","\\ud83d\\udc7d"
"alien_monster","\\ud83d\\udc7e"
"robot","\\ud83e\\udd16"
"grinning_cat","\\ud83d\\ude3a"
"grinning_cat_with_smiling_eyes","\\ud83d\\ude38"
"cat_with_tears_of_joy","\\ud83d\\ude39"
"smiling_cat_with_hearteyes","\\ud83d\\ude3b"
"cat_with_wry_smile","\\ud83d\\ude3c"
"kissing_cat","\\ud83d\\ude3d"
"weary_cat","\\ud83d\\ude40"
"crying_cat","\\ud83d\\ude3f"
"pouting_cat","\\ud83d\\ude3e"
"seenoevil_monkey","\\ud83d\\ude48"
"hearnoevil_monkey","\\ud83d\\ude49"
"speaknoevil_monkey","\\ud83d\\ude4a"
"kiss_mark","\\ud83d\\udc8b"
"love_letter","\\ud83d\\udc8c"
"heart_with_arrow","\\ud83d\\udc98"
"heart_with_ribbon","\\ud83d\\udc9d"
"sparkling_heart","\\ud83d\\udc96"
"growing_heart","\\ud83d\\udc97"
"beating_heart","\\ud83d\\udc93"
"revolving_hearts","\\ud83d\\udc9e"
"two_hearts","\\ud83d\\udc95"
"heart_decoration","\\ud83d\\udc9f"
"heart_exclamation","\\u2763"
"broken_heart","\\ud83d\\udc94"
"heart_on_fire","\\u2764\\uFE0F\\u200D\\ud83d\\udd25"
"mending_heart","\\u2764\\uFE0F\\u200D\\ud83e\\ude79"
"red_heart","\\u2764"
"orange_heart","\\ud83e\\udde1"
"yellow_heart","\\ud83d\\udc9b"
"green_heart","\\ud83d\\udc9a"
"blue_heart","\\ud83d\\udc99"
"purple_heart","\\ud83d\\udc9c"
"brown_heart","\\ud83e\\udd0e"
"black_heart","\\ud83d\\udda4"
"white_heart","\\ud83e\\udd0d"
"hundred_points","\\ud83d\\udcaf"
"anger_symbol","\\ud83d\\udca2"
"collision","\\ud83d\\udca5"
"dizzy","\\ud83d\\udcab"
"sweat_droplets","\\ud83d\\udca6"
"dashing_away","\\ud83d\\udca8"
